Run Date,Report Date, Location, Temp Difference, Wind Difference, Precipitation Difference
2026-06-26,2026-06-25,DTW,0.40,0.60,0.53
2026-06-26,2026-06-25,ATL,1.30,3.50,0.03
2026-06-26,2026-06-25,ATL,1.30,3.50,0.03
2026-06-26,2026-06-25,DTW,0.40,0.60,0.53
2026-06-26,2026-06-25,ATL,1.30,3.50,0.03
2026-06-26,2026-06-25,ATL,1.30,3.50,0.03
2026-06-26,2026-06-25,ATL,1.30,3.50,0.03
2026-06-26,2026-06-25,ATL,1.30,3.50,0.03
2026-06-26,2026-06-25,DTW,0.40,0.60,0.53
2026-06-26,2026-06-25,DTW,0.40,0.6,0.53
